Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
8TRA.ST,236.6,2021/01/26,10:48 CET,-1.7999878,238.0,238.0,234.85,18474,,,,,,,
AAK.ST,160.4,2021/01/26,10:50 CET,1.0999908,159.35,160.55,158.95,1063700,,,,,,,
ABB.ST,252.2,2021/01/26,10:51 CET,3.5999908,248.7,252.7,248.5,215594,,,,,,,
ADDT-B.ST,115.0,2021/01/26,10:41 CET,1.0,114.0,115.0,113.0,16068,,,,,,,
AF-B.ST,234.4,2021/01/26,10:51 CET,1.0,233.8,235.2,232.4,42032,,,,,,,
ALFA.ST,235.2,2021/01/26,10:50 CET,3.300003,232.8,235.8,231.1,216012,,,,,,,
ALIV-SDB.ST,732.4,2021/01/26,10:51 CET,11.400024,727.0,737.8,727.0,41950,,,,,,,
ARION-SDB.ST,6.19,2021/01/26,10:46 CET,-0.049999714,6.24,6.25,6.05,36304,,,,,,,
ARJO-B.ST,61.7,2021/01/26,10:50 CET,0.29999924,61.2,62.45,61.0,254923,,,,,,,
ASSA-B.ST,212.2,2021/01/26,10:51 CET,2.199997,209.5,212.7,209.0,275028,,,,,,,
ATCO-A.ST,475.9,2021/01/26,10:51 CET,8.0,467.9,477.6,465.4,253059,,,,,,,
ATCO-B.ST,413.3,2021/01/26,10:51 CET,6.1999817,406.6,414.8,404.4,126091,,,,,,,
ATRLJ-B.ST,160.8,2021/01/26,10:47 CET,1.199997,159.4,162.2,159.0,26593,,,,,,,
AXFO.ST,203.4,2021/01/26,10:51 CET,1.3999939,202.2,203.6,202.2,59667,,,,,,,
AZA.ST,231.0,2021/01/26,10:51 CET,-4.0,235.2,235.4,230.6,191352,,,,,,,
AZN.ST,906.0,2021/01/26,10:51 CET,11.400024,888.6,908.9,882.1,286281,,,,,,,
BALD-B.ST,431.1,2021/01/26,10:50 CET,6.5,423.9,431.7,423.5,29780,,,,,,,
BEIJ-B.ST,367.8,2021/01/26,10:51 CET,3.1999817,366.6,369.6,361.8,34326,,,,,,,
BETS-B.ST,81.4,2021/01/26,10:50 CET,0.5,80.7,81.8,80.7,98700,,,,,,,
BHG.ST,166.4,2021/01/26,10:50 CET,1.7999878,164.6,166.8,161.8,115785,,,,,,,
BILI-A.ST,105.4,2021/01/26,10:50 CET,3.4000015,106.6,108.0,104.7,131088,,,,,,,
BILL.ST,156.45,2021/01/26,10:50 CET,-1.949997,155.2,159.35,154.0,243680,,,,,,,
BOL.ST,288.7,2021/01/26,10:51 CET,-1.0,289.0,290.2,288.1,186127,,,,,,,
BRAV.ST,103.8,2021/01/26,10:48 CET,1.300003,102.5,104.1,102.3,36196,,,,,,,
BURE.ST,277.0,2021/01/26,10:51 CET,2.7999878,274.2,277.6,273.6,14644,,,,,,,
CAST.ST,205.0,2021/01/26,10:51 CET,2.600006,202.8,206.5,202.6,152919,,,,,,,
DOM.ST,117.1,2021/01/26,10:50 CET,0.7999954,116.5,117.75,115.8,106186,,,,,,,
EKTA-B.ST,116.2,2021/01/26,10:51 CET,0.0,115.95,117.5,115.75,116594,,,,,,,
ELUX-B.ST,209.0,2021/01/26,10:51 CET,0.1000061,208.9,209.4,207.9,154498,,,,,,,
EPI-A.ST,164.0,2021/01/26,10:51 CET,1.3500061,160.0,164.8,159.85,278153,,,,,,,
EPRO-B.ST,47.29,2021/01/26,10:51 CET,-0.8600006,48.0,48.0,46.9,136239,,,,,,,
EQT.ST,253.0,2021/01/26,10:51 CET,29.800003,233.6,253.9,233.4,615194,,,,,,,
