"Name","Tick"
"AAK","AAK.ST"
"ABB","ABB.ST"
"AQ Group","AQ.ST"
"AcadeMedia","ACAD.ST"
"Actic Group","ATIC.ST"
"Active Biotech","ACTI.ST"
"Adapteo","ADAPT.ST"
"Addlife B","ALIF-B.ST"
"Addnode Group B","ANOD-B.ST"
"Addtech B","ADDT-B.ST"
"Africa Oil Corp.","AOI.ST"
"Agromoni","AGRO.ST"
"Ahlstrom-Munksjö","AM1S.ST"
"Alfa Laval","ALFA.ST"
"Alimak Group","ALIG.ST"
"Alligator Bioscience","ATORX.ST"
"Ambea","AMBEA.ST"
"Anoto Group","ANOT.ST"
"Arctic Paper","ARP.ST"
"Arion Bank","ARION-SDB.ST"
"Arise","ARISE.ST"
"Arjo","ARJO-B.ST"
"Ascelia Pharma","ACE.ST"
"Assa Abloy B","ASSA-B.ST"
"AstraZeneca","AZN.ST"
"Atlas Copco A","ATCO-A.ST"
"Atlas Copco B","ATCO-B.ST"
"Atrium Ljungberg B","ATRLJ-B.ST"
"Attendo","ATT.ST"
"Autoliv","ALIV-SDB.ST"
"Avanza Bank","AZA.ST"
"Axfood","AXFO.ST"
"B3 Consulting Group","B3.ST"
"BE Group","BEGR.ST"
"BONESUPPORT","BONEX.ST"
"BTS Group B","BTS-B.ST"
"Bactiguard Holding B","BACTI-B.ST"
"Balco Group","BALCO.ST"
"Balder B","BALD-B.ST"
"Beijer Alma B","BEIA-B.ST"
"Beijer Electronics Group","BELE.ST"
"Beijer Ref","BEIJ-B.ST"
"Bergman & Beving B","BERG-B.ST"
"Bergs Timber B","BRG-B.ST"
"Besqab","BESQ.ST"
"Betsson B","BETS-B.ST"
"Better Collective","BETCO.ST"
"Bilia A","BILI-A.ST"
"BillerudKorsnäs","BILL.ST"
"BioArctic B","BIOA-B.ST"
"BioGaia B","BIOG-B.ST"
"BioInvent International","BINV.ST"
"Biotage","BIOT.ST"
"Björn Borg","BORG.ST"
"Boliden","BOL.ST"
"Bonava B","BONAV-B.ST"
"Bong","BONG.ST"
"Boozt","BOOZT.ST"
"Boule Diagnostics","BOUL.ST"
"Bravida Holding","BRAV.ST"
"Brinova Fastigheter B","BRIN-B.ST"
"Bufab","BUFAB.ST"
"Bulten","BULTEN.ST"
"Bure Equity","BURE.ST"
"Bygghemma","BHG.ST"
"Byggmax Group","BMAX.ST"
"C-RAD B","CRAD-B.ST"
"CTT Systems","CTT.ST"
"Calliditas Therapeutics","CALTX.ST"
"Camurus","CAMX.ST"
"Cantargia","CANTA.ST"
"Castellum","CAST.ST"
"Catella B","CAT-B.ST"
"Catena","CATE.ST"
"Catena Media","CTM.ST"
"Cavotec SA","CCC.ST"
"CellaVision","CEVI.ST"
"Christian Berner Tech Trade B","CBTT-B.ST"
"Clas Ohlson B","CLAS-B.ST"
"Cloetta","CLA-B.ST"
"Collector","COLL.ST"
"Concentric","COIC.ST"
"Concordia Martime B","CCOR-B.ST"
"Consilium","CONS-B.ST"
"Coor Service Management","COOR.ST"
"Corem Property Group","CORE-B.ST"
"Creades A","CRED-A.ST"
"Dedicare B","DEDI.ST"
"Diös Fastigheter","DIOS.ST"
"Dometic Group","DOM.ST"
"Doro","DORO.ST"
"Duni","DUNI.ST"
"Duroc B","DURC-B.ST"
"Dustin Group","DUST.ST"
"Eastnine","EAST.ST"
"Edgeware","EDGE.ST"
"Elanders B","ELAN-B.ST"
"Electra Gruppen","ELEC.ST"
"Electrolux B","ELUX-B.ST"
"Elekta B","EKTA-B.ST"
"Elos Medtech B","ELOS-B.ST"
"Eltel","ELTEL.ST"
"Empir Group B","EMPIR-B.ST"
"EnQuest PLC","ENQ.ST"
"Endomines","ENDO.ST"
"Enea","ENEA.ST"
"Eniro","ENRO.ST"
"Eolus Vind B","EOLU-B.ST"
"Epiroc B","EPI-B.ST"
"Episurf Medical B","EPIS-B.ST"
"Ericsson B","ERIC-B.ST"
"Essity B","ESSITY-B.ST"
"Etrion","ETX.ST"
"Evolution Gaming Group","EVO.ST"
"FM Mattsson B","FMM-B.ST"
"Fabege","FABG.ST"
"Fagerhult","FAG.ST"
"Fast Partner","FPAR.ST"
"Feelgood Svenska","FEEL.ST"
"Fenix Outdoor International","FOI-B.ST"
"Ferronordic","FNM.ST"
"Fingerprint Cards B","FING-B.ST"
"FormPipe Software","FPIP.ST"
"G5 Entertainment","G5EN.ST"
"GHP Specialty Care AB","GHP.ST"
"Gaming Innovation Group","GIGSEK.ST"
"Garo","GARO.ST"
"Getinge B","GETI-B.ST"
"Green Landscaping Group","GREEN.ST"
"Gränges","GRNG.ST"
"Gunnebo","GUNN.ST"
"H&M B","HM-B.ST"
"HANZA Holding","HANZA.ST"
"HMS Networks","HMS.ST"
"Haldex","HLDX.ST"
"Handelsbanken A","SHB-A.ST"
"Handicare Group","HANDI.ST"
"Hansa Biopharma","HNSA.ST"
"Havsfrun Investment B","HAV-B.ST"
"Heba B","HEBA-B.ST"
"Hembla B","HEM-B.ST"
"Hemfosa Fastigheter","HEMF.ST"
"Hemfosa Fastigheter Pref","HEMF-PREF.ST"
"Hexagon B","HEXA-B.ST"
"Hexatronic Group","HTRO.ST"
"Hexpol B","HPOL-B.ST"
"HiQ International","HIQ.ST"
"Hoist Finance","HOFI.ST"
"Holmen B","HOLM-B.ST"
"Hufvudstaden A","HUFV-A.ST"
"Humana","HUM.ST"
"Husqvarna B","HUSQ-B.ST"
"I.A.R Systems Group B","IAR-B.ST"
"ICA Gruppen","ICA.ST"
"ICTA","ICTA.ST"
"ITAB Shop Concept B","ITAB-B.ST"
"Image Systems","IS.ST"
"Immunicum","IMMU.ST"
"Immunovia","IMMNOV.ST"
"Industrivärden C","INDU-C.ST"
"Indutrade","INDT.ST"
"Infant Bacterial Therapeutics B","IBT-B.ST"
"Instalco","INSTAL.ST"
"International Petroleum Corporation","IPCO.ST"
"Internationella Engelska Skolan","ENG.ST"
"Intrum","INTRUM.ST"
"Investor B","INVE-B.ST"
"Invisio Communications","IVSO.ST"
"Inwido","INWI.ST"
"JM","JM.ST"
"John Mattson","JOMA.ST"
"Josemaria Resources INc.","JOSE.ST"
"K2A Knaust & Andersson Fastigheter B","K2A-B.ST"
"KABE Group B","KABE-B.ST"
"KappAhl","KAHL.ST"
"Karnov Group","KAR.ST"
"Karo Pharma","KARO.ST"
"Kindred Group","KIND-SDB.ST"
"Kinnevik B","KINV-B.ST"
"Klövern B","KLOV-B.ST"
